Prefecture,Name,Location,Cs-134,Cs-134 MDA,Cs-137,Cs-137 MDA,Date,Time Measures (sec),Instrument,Lab,Cat 1,Cat 2,Cat 3
不明,生薬煎出液(混合構成不明),不明,ND,3.20,ND,3.50,2012-11-03,1800,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Others,Others,Others
不明,おから原料の猫の砂,不明,ND,2.20,ND,2.40,2012-08-29,10800,AT1320A,Hakaru-Sapporo Citizens' Station for Measuring Radioactivity in Sapporo,Others,Others,Others
不明,ベビー飲料,不明不明・水は長野県,ND,4.80,ND,4.30,2012-05-15,6600,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
兵庫県,ジョイコンパクト,兵庫県神戸市東灘区,ND,0.60,ND,0.60,2015-04-07,21600,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
兵庫県,P&Gボールド,兵庫県神戸市東灘区,ND,0.60,ND,0.60,2015-04-07,21600,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
兵庫県,わらっと納豆・藁筒,兵庫県姫路市,ND,2.90,ND,2.90,2015-04-20,43200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
千葉県,サバ,千葉県,ND,0.40,ND,0.40,2015-02-10,21600,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
千葉県,ピーナッツクリーム,千葉県,ND,2.40,ND,2.20,2015-02-05,1440,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
千葉県,大豆戻し汁,千葉県香取郡神崎町,3.90±2.00,2.80,4.40±2.20,3.00,2012-02-09,3600,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Others,Others,Others
千葉県,モイストイージーフェイス,千葉県成田市,ND,0.90,ND,0.90,2015-04-03,21600,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
千葉県,洗濯のしゃぼん無香料,千葉県船橋市,ND,0.70,ND,0.70,2014-11-30,7200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
国産,経木,国産,ND,1.00,ND,1.00,2015-03-11,43200,CSK3i,Hanshin Citizens' Radioactivity Measuring Center,Others,Others,Others
国産,エパデールS900,国産,ND,1.41,ND,1.72,2013-04-15,54000,HpGe,NPO Fukushima 30-Years Project,Others,Others,Others
国産,味の素『エレンタール 成分栄養剤』 製造No  1D229 使用期限 2012.6,国産,ND,2.10,ND,2.30,2012-07-06,10800,AT1320A,Hakaru-Sapporo Citizens' Station for Measuring Radioactivity in Sapporo,Others,Others,Others
国産,ラコールNF配合経腸溶液　製造番号 X1109161 使用期限 2012.10,国産,ND,1.50,ND,1.60,2012-07-08,9403,AT1320A,Hakaru-Sapporo Citizens' Station for Measuring Radioactivity in Sapporo,Others,Others,Others
国産,ベビー飲料 りんご＆もも,国産りんご:青森･海外　もも:山形･海外　水:青森,ND,4.70,ND,4.20,2012-05-15,6600,ALOKA  CAN-OSP-NAI,Tokai No Nukes Network for Future Generations Citizens' Radiation Measuring Center (C Lab.),Others,Others,Others
埼玉県,シイタケ戻し汁(シイタケ10g使用/RO水/原木シイタケ),埼玉県,1.30±0.57,0.82,3.10±0.84,0.90,2013-05-16,65000,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Others,Others,Others
埼玉県,シイタケ戻し汁(乾燥シイタケ100g1週間1l水で),埼玉県,3.80±1.80,2.70,9.70±2.80,2.90,2013-05-23,3600,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Others,Others,Others
埼玉県,原木干ししいたけ戻し汁,埼玉県比企郡滑川町,29.00±6.70,3.93,32.00±7.80,4.28,2012-08-31,1800,AT1320A,Mori-no-Sokuteishitsu Namegawa,Others,Others,Others
大阪府,飲料水(「赤ちゃんの純水」/アカチャンホンポ/140903AOK1),大阪府,ND,0.74,ND,0.81,2013-06-02,65000,AT1320A,Kodomomirai Radiation Measurement Station for Children and Future (Kodomira RMS),Others,Others,Others
宮城県,炭クッキー,宮城県伊具郡丸森町,ND,4.50,ND,2.50,2012-10-10,1800,CSK3i,Small Flowers Independent Radioaction Measurement Room,Others,Others,Others
宮城県,フン　いのしし糞,宮城県仙台市太白区,53.10±14.90,2.70,160.00±40.70,6.80,2014-05-24,1800,CSK3i,Small Flowers Independent Radioaction Measurement Room,Others,Others,Others
